intron	logef	male	female	deltapsi
chr1:173864075:173864257:clu_1_-	-0.0159493486644869	0.973072908840784	0.972224365526181	-0.00084854331460249
chr1:173864079:173864257:clu_1_-	0.0159493486644869	0.0269270911592161	0.0277756344738185	0.000848543314602379
chr1:173864304:173864484:clu_2_-	0.0686812255344142	0.506078389858861	0.502275034530396	-0.00380335532846576
chr1:173864304:173864675:clu_2_-	0.0723878911744395	0.0246918286734099	0.0245972660566845	-9.45626167253889e-05
chr1:173864502:173864675:clu_2_-	-0.231244989931273	0.00966530655864623	0.0071069479096686	-0.00255835864897763
chr1:173864506:173864675:clu_2_-	0.0901758732224192	0.459564474909082	0.466020751503251	0.0064562765941687
chr1:173865282:173865471:clu_3_-	-0.254510428872053	0.540925357696887	0.414606989638757	-0.12631836805813
chr1:173865282:173865510:clu_3_-	0.254510428872053	0.459074642303113	0.585393010361242	0.12631836805813
chr1:23691829:23692609:clu_4_+	0.169517764474881	0.834629848575447	0.876298735896805	0.0416688873213579
chr1:23691829:23692612:clu_4_+	-0.169517764474881	0.165370151424553	0.123701264103195	-0.0416688873213579
chr1:44776714:44777614:clu_5_+	-0.00821218825684883	0.00948279450693548	0.00932975881815495	-0.000153035688780539
chr1:44776774:44777614:clu_5_+	0.00821218825684883	0.990517205493065	0.990670241181845	0.000153035688780556
chr1:153990802:153991115:clu_6_+	0.117688532268325	0.942812829962361	0.95425791744037	0.011445087478009
chr1:153991034:153991115:clu_6_+	-0.117688532268325	0.0571871700376391	0.0457420825596301	-0.0114450874780089
chr10:78037304:78040204:clu_9_+	0.0639286673813305	0.517110713629258	0.534052434662765	0.016941721033507
chr10:78037304:78040615:clu_9_+	-0.0855736323531401	0.120358185566677	0.107040461237006	-0.013317724329671
chr10:78040225:78040615:clu_9_+	0.0216449649718098	0.362531100804065	0.358907104100229	-0.00362399670383601
chr11:810039:810234:clu_10_+	0.0166746326036097	0.0971164042834537	0.103064337026007	0.00594793274255319
chr11:810039:811597:clu_10_+	0.0331088799406415	0.00423735910473075	0.00457139125724594	0.000334032152515195
chr11:810357:811597:clu_10_+	-0.0497835125442512	0.898646236611816	0.892364271716747	-0.00628196489506838
chr11:812633:812760:clu_11_+	-0.106272218772419	0.978702626131478	0.973791147907277	-0.00491147822420068
chr11:812633:812763:clu_11_+	0.106272218772419	0.0212973738685222	0.0262088520927229	0.00491147822420077
chr11:65499423:65499513:clu_13_+	-0.954203976475844	0.741511113879263	0.298474970097072	-0.443036143782191
chr11:65499462:65499513:clu_13_+	0.954203976475844	0.258488886120737	0.701525029902928	0.443036143782191
chr11:118352487:118353119:clu_14_+	0.0381492438481509	0.901113765156692	0.907707554260585	0.00659378910389297
chr11:118352487:118353124:clu_14_+	-0.0381492438481509	0.098886234843308	0.0922924457394151	-0.00659378910389292
chr11:118339494:118339775:clu_16_-	-0.0189589520418552	0.753062776898433	0.745909322103217	-0.00715345479521579
chr11:118339494:118340375:clu_16_-	-0.00290839835496756	0.0274571089697614	0.0276363273128826	0.00017921834312121
chr11:118339906:118340375:clu_16_-	0.0218673503968228	0.219480114131805	0.2264543505839	0.00697423645209458
chr11:119017433:119017958:clu_17_-	-0.300120520170209	0.0107694396122177	0.0146899276994011	0.00392048808718335
chr11:119017542:119017958:clu_17_-	0.930883863807027	0.00429513330023604	0.0200641890342559	0.0157690557340198
chr11:119017545:119017958:clu_17_-	-0.630763343636819	0.984935427087546	0.965245883266343	-0.0196895438212031
chr12:47206069:47206511:clu_19_-	0.125335591209341	0.197966671935742	0.228312332845698	0.0303456609099559
chr12:47206069:47209281:clu_19_-	-0.245262498702858	0.137454437250999	0.109432758859105	-0.0280216783918946
chr12:47206145:47206511:clu_19_-	0.0723787846340271	0.143374189047854	0.156822876316905	0.0134486872690512
